STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完善

STR_CONFIG_SETTING_TREE_GROWTH                                  :树木生长速度：{STRING}
STR_CONFIG_SETTING_TREE_GROWTH_HELPTEXT                         :控制游戏过程中树木生长的速率。这可能影响到依赖于树木生长的工业，例如伐木场
STR_CONFIG_SETTING_TREE_GROWTH_NORMAL                           :标准
STR_CONFIG_SETTING_TREE_GROWTH_SLOW                             :较慢
STR_CONFIG_SETTING_TREE_GROWTH_VERY_SLOW                        :很慢
STR_CONFIG_SETTING_TREE_GROWTH_EXTREMELY_SLOW                   :极慢
STR_CONFIG_SETTING_TREE_GROWTH_STATIC                           :停滞

STR_CONFIG_SETTING_TOWN_ZONES                                   :{ORANGE}自定义城镇区域
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE                          :使用自定义城镇区域计算方式：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE_HELPTEXT                 :手动设置城镇区域。自定义城镇区域的默认设置类似于默认城镇生成设置。当区域 0 在特定的更大的值得时候一些区域只需要很小的更改。
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT                             :城镇区域 0 因子：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT_HELPTEXT                    :城镇区域 0 大小因子（最外面的没有人行道的道路）这个设定适合更大的值
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT                             :城镇区域 1 因子：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT_HELPTEXT                    :城镇区域 1 大小因子（有人行道的外部区域）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT                             :城镇区域 2 因子：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT_HELPTEXT                    :城镇区域 2 大小因子（有人行道的外部区域）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT                             :城镇区域 3 因子：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT_HELPTEXT                    :城镇区域 3 大小因子（带有树木的道路）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT                             :城镇区域 4 因子：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT_HELPTEXT                    :城镇区域 4 大小因子（带有路灯的道路）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_CITY_ZONE_0_MULT                             :都市区域 0 因子：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_0_MULT_HELPTEXT                    :都市区域 0 大小因子（最外面的没有人行道的道路）这个设定适合更大的值
STR_CONFIG_SETTING_CITY_ZONE_1_MULT                             :都市区域 1 因子：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_1_MULT_HELPTEXT                    :都市区域 1 大小因子（有人行道的外部区域）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_CITY_ZONE_2_MULT                             :都市区域 2 因子：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_2_MULT_HELPTEXT                    :都市区域 2 大小因子（有人行道的外部区域）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_CITY_ZONE_3_MULT                             :都市区域 3 因子：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_3_MULT_HELPTEXT                    :都市区域 3 大小因子（带有树木的道路）这个设定在有较小的变更时效果最好
STR_CONFIG_SETTING_CITY_ZONE_4_MULT                             :都市区域 4 因子：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_4_MULT_HELPTEXT                    :都市区域 4 大小因子（带有路灯的道路）这个设定在有较小的变更时效果最好

STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED                :城镇扩张速度取决于已运输的货物：{STRING}
STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED_HELPTEXT       :城镇扩张速度取决于上个月运输到城镇的货物数量

STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION                   :随机城镇道路重建的可能性：{STRING}
STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION_HELPTEXT          :随机城镇道路重建的可能性（0 = 无，1000 = 最大）

STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM                      :货物运费算法：{STRING}
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_HELPTEXT             :决定货物运费的算法
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_TRADITIONAL          :原版
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_MODERN               :现代

STR_CONFIG_SETTING_TICK_RATE                                    :一游戏刻所对应的毫秒数：{STRING}
STR_CONFIG_SETTING_TICK_RATE_HELPTEXT                           :设置每一游戏刻所对应的毫秒数
STR_CONFIG_SETTING_TICK_RATE_TRADITIONAL                        :30 ms/刻（原版）
STR_CONFIG_SETTING_TICK_RATE_MODERN                             :27 ms/刻（现代）

STR_CONFIG_SETTING_TOWN_MIN_DISTANCE                            :城镇间最小距离：{STRING}
STR_CONFIG_SETTING_TOWN_MIN_DISTANCE_HELPTEXT                   :设置在生成地图时城镇间的最小距离

STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO                       :对此货物重载分配模式：{STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_PARAM                 :重载{STRING}的分配模式：{STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_HELPTEXT              :“默认”使用默认配置{}“对称”意味着从甲车站运往乙车站的货物数量与从乙车站运往甲车站的大致相同{}“不对称”意味着任何一站前往另一个车站的货物的数量会被系统任意地决定{}“手动”意味着对于此类货物系统不会自动分配其目的地
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_DEFAULT               :默认
STR_CONFIG_SETTING_DISTRIBUTION_HELPTEXT_EXTRA                  :{STRING}{}“不对称（平衡分布）”意味着货物将被平均分配到接收该类型货物的车站。“不平衡（最近距离）”意味着货物会被送到最近的任何一个接收该类型货物的车站。

STR_CONFIG_SETTING_AIRCRAFT_PATH_COST                           :使用飞机时路径的距离缩放：{STRING}
STR_CONFIG_SETTING_AIRCRAFT_PATH_COST_HELPTEXT                  :这是当使用飞机时，对于路径（度量距离）的费用计算的缩放系数，这可以让它们比它们实际更长或更短。这可以减小飞机由于直线飞行导致空域超载的趋势。

STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER          :在多人联机服务器中同步本地化设置：{STRING}
STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER_HELPTEXT :当通过网络客户端加入多玩家服务器时，改变本地化设置来匹配服务器

STR_CONFIG_SETTING_INTERFACE_DEPARTUREBOARDS                    :{ORANGE}出发看板
STR_CONFIG_SETTING_INTERFACE_WALLCLOCK                          :{ORANGE}挂钟
STR_CONFIG_SETTING_INTERFACE_TIME_CLIENT                        :{ORANGE}客户端设置
STR_CONFIG_SETTING_INTERFACE_TIME_SAVEGAME                      :{ORANGE}游戏保存设置
STR_CONFIG_SETTING_INTERFACE_TIMETABLE                          :{ORANGE}时刻表
STR_CONFIG_SETTING_INTERFACE_SIGNALS                            :{ORANGE}信号
STR_CONFIG_SETTING_INTERFACE_SAVE                               :{ORANGE}存档与自动存档
STR_CONFIG_SETTING_INTERFACE_VEHICLE_WINDOWS                    :{ORANGE}载具窗口
STR_CONFIG_SETTING_GENWORLD_RIVERS_LAKES                        :{ORANGE}河流和湖泊
STR_CONFIG_SETTING_ENVIRONMENT_CARGODIST_PER_CARGO_OVERRIDE     :{ORANGE}货物分配 - 重载特定货物的模式
STR_CONFIG_SETTING_VIEWPORT_MAP_OPTIONS                         :{ORANGE}地图模式
STR_CONFIG_SETTING_VEHICLE_ROUTE_OVERLAY                        :{ORANGE}载具路径覆盖层
STR_CONFIG_SETTING_SHARING                                      :{ORANGE}基建共享

STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE                  :当道路布局改变时重新规划道路车辆：{STRING}
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_HELPTEXT         :当道路布局被改变时是否重新规划地图上全部的道路车辆{}这可以在改变道路布局时改善费用计算情况的准确度{}注意，如果这个选项被设定为“是”，则城镇扩张将触发道路车辆的路径重新规划，在使用较大的地图时可能导致卡顿
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_NO               :否
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_REMOVE_ONLY      :仅当道路移除时
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_YES              :是

STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS              :启用道路桥梁自定义桥头：{STRING}
STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS_HELPTEXT     :允许在道路桥梁的头尾建造弯道或路口
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS              :启用铁路桥梁自定义桥头：{STRING}
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS_HELPTEXT     :允许在铁路桥梁的头尾建造弯道或道岔

STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES              :允许在桥下建造 NewGRF 物体：{STRING}
STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES_HELPTEXT     :允许在桥下建造 NewGRF 物体{}这可能导致图像错误

STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES             :允许在桥下建设 NewGRF 火车站与路点：{STRING}
STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES_HELPTEXT    :启用后将忽略 NewGRF 火车站与路点的高度限制{}这可能导致图像错误

STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES            :允许在桥下建设汽车站：{STRING}
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT   :允许把道路/有轨电车站建在桥下{}载具通过桥梁而不停站需要桥梁的高度至少为一格，要让载具停靠在此类站点则要求桥梁的高度至少为两格
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT_EXTRA :{STRING}{}{}NewGRF 道路/电车站可以覆盖这一设置，并允许或不允许在桥下建设车站，并设置自定义的高度间隙要求

STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES                    :允许在桥下建设船坞：{STRING}
STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES_HELPTEXT           :允许把船坞建在桥下，船坞需要两格高度的净空{}这可能导致图像错误

STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED                      :购买土地行为：{STRING}
STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED_HELPTEXT             :设置是否允许公司购买土地，并规定单次购买数量

STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED                       :景观物体建设上限：{STRING}
STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED_HELPTEXT              :设定单个公司可建设的景观物体上限

STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER                      :在 {STRING} 年将没有物体过期
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_HELPTEXT             :在指定年份之后，物体不会失效
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_VALUE                :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_ZERO                 :禁用

STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES                    :忽略建筑引入日期：{STRING}
STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES_HELPTEXT           :设置是否允许玩家在建筑引入之前就能建设这些建筑{}这对于在地图生成过程中生成的建筑不适用

STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES            :允许将城镇道路转换为不允许生成房屋的道路类型：{STRING}
STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES_HELPTEXT   :决定玩家是否可以将城镇道路转为不允许生成房屋的道路类型{}此选项默认关闭，因为这可能导致城镇缩水

STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND                  :使用地块原始图像呈现公司土地：{STRING}
STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND_HELPTEXT         :启用时，使用地块的原始图像呈现公司购买的土地，即显示草地、沙地、雪地、海岸等。

STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY                  :仅生成初级产业：{STRING}
STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY_HELPTEXT         :启用时，在地图生成与游戏进行中只会生成一级产业。

STR_CONFIG_SETTING_INDUSTRY_EVENT_RATE                          :工业事件频率：{STRING}
STR_CONFIG_SETTING_INDUSTRY_EVENT_RATE_HELPTEXT                 :缩放经济周期内的工业事件频率，包括工业生产变化、开业和倒闭。

STR_PURCHASE_LAND_PERMITTED_NO                                  :否
STR_PURCHASE_LAND_PERMITTED_SINGLE                              :允许单格操作
STR_PURCHASE_LAND_PERMITTED_AREA                                :允许拖拽操作

STR_PURCHASE_LAND_NOT_PERMITTED                                 :不允许购买土地
STR_PURCHASE_LAND_NOT_PERMITTED_BULK                            :不允许大范围购买土地

STR_BUILD_OBJECT_NOT_PERMITTED_BULK                             :不允许大范围建筑物体

STR_CONFIG_SETTING_ADJACENT_CROSSINGS                           :关闭相连的平交道口：{STRING}
STR_CONFIG_SETTING_ADJACENT_CROSSINGS_HELPTEXT                  :只要有一个或多个平交道口被占用，就关闭所有与之相连的平交道口

STR_CONFIG_SETTING_SAFER_CROSSINGS                              :更安全的平交道口：{STRING}
STR_CONFIG_SETTING_SAFER_CROSSINGS_HELPTEXT                     :道路车辆将不会与列车相撞

STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE                       :自动支付载具修理费：{STRING}
STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE_HELPTEXT              :支付修理费以修理损坏的载具

STR_CONFIG_SETTING_REPAIR_COST                                  :修理载具的成本为载具购置成本的 1/{STRING}
STR_CONFIG_SETTING_REPAIR_COST_HELPTEXT                         :将修理载具的成本设置为购买载具成本 1/x{}如果载具的使用年限超过其最高使用年限，则费用翻倍

STR_CONFIG_OCCUPANCY_SMOOTHNESS                                 :调度占用的测量平滑度：{STRING}
STR_CONFIG_OCCUPANCY_SMOOTHNESS_HELPTEXT                        :将此项设置为 0% 时，载具的载货变化将立即在调度占用中反映出来。将此项设置为 100% 时，调度占用将维持不变

STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE                       :克隆/复制/共享调度计划的进阶设置：{STRING}
STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE_HELPTEXT              :在克隆/复制/共享现有载具的调度计划后：{}对于列车、道路载具、船舶：如果载具在一个车库中，该车库在调度计划列表中，则跳到该车库的调度计划之一。{}对于飞机：如果飞机在机库中，相关的机场在调度计划列表中，则跳到该机场的调度计划之一。

STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP                      :在复制 - 克隆组中添加载具：{STRING}
STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP_HELPTEXT             :设置是否将不共享调度计划的载具添加到载具克隆组中

STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION            :如果下一个指令是在同一车站，则留在车站：{STRING}
STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION_HELPTEXT   :如果载具的下一个指令是为当前车站，那么载具将停留在原地装卸货而不是驶离当前车站

STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS                   :使用 <Ctrl> 键拖拽设置信号时忽略路点与车站：{STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS_HELPTEXT          :设置使用 <Ctrl> 键拖拽设置信号时的行为。禁用时，当游戏检测到到达车站或路点时信号设置停止。启用时，信号检测将忽略车站与路点并继续设置信号。

STR_CONFIG_SETTING_DRAG_SIGNALS_STOP_RESTRICTED_SIGNAL          :使用 <Ctrl> 键拖拽移除信号时在寻路限制信号处停止：{STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_STOP_RESTRICTED_SIGNAL_HELPTEXT :设置使用 <Ctrl> 键拖拽移除信号时的行为。启用时，游戏将在检测到信号有寻路限制程序时停止移除信号。

STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED                   :{WHITE}不能更改设置……
STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED_NEWGRF            :{WHITE}……有 NewGRF 依赖此设置

STR_CONFIG_SETTING_TIMETABLE_IN_TICKS                           :在时刻表中以刻而不是日为单位：{STRING}
STR_CONFIG_SETTING_TIMETABLE_IN_TICKS_HELPTEXT                  :在时刻表中以刻而不是日为显示单位

STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_CALENDAR           :{RED}[本设置在日历时间模式中禁用]
STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_WALLCLOCK          :{RED}[本设置在挂钟时间模式中禁用]

STR_CHEAT_EDIT_MONEY_QUERY_CAPT                                 :{WHITE}增加或减少现金
STR_CHEAT_INFLATION_COST                                        :{LTBLUE}改变支出通胀因子：{ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_COST_QUERY_CAPT                             :{WHITE}改变支出通胀因子
STR_CHEAT_INFLATION_INCOME                                      :{LTBLUE}改变收入通胀因子：{ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_INCOME_QUERY_CAPT                           :{WHITE}改变收入通胀因子
STR_CHEAT_TOWN_RATING                                           :{LTBLUE}城镇评价锁定为“完美”：{ORANGE}{STRING}

STR_NETWORK_MESSAGE_GIVE_MONEY_RECEIVE                          :*** {STRING} 给了你的公司 {2:CURRENCY_LONG}
STR_NETWORK_MESSAGE_GAVE_MONEY_AWAY                             :*** 你给了 {1:STRING} {2:CURRENCY_LONG}
STR_NETWORK_MESSAGE_MONEY_GIVE_SRC_DESCRIPTION                  :{STRING}（{COMPANY}）

STR_TRANSPARENT_LOADING_TOOLTIP                                 :{BLACK}调整装载进度是否透明{}按住 <Ctrl> 键点击以锁定
STR_TRANSPARENT_TUNNELS_TOOLTIP                                 :{BLACK}调整隧道内载具是否透明{}按住 <Ctrl> 键点击以锁定

STR_LINKGRAPH_STATS_TOOLTIP_TIME_EXTENSION_GENERAL              :{}平均行驶时间：{STRING}
STR_LINKGRAPH_STATS_TOOLTIP_CAPACITY                            :{}容量：{CARGO_LONG}
STR_LINKGRAPH_STATS_TOOLTIP_USAGE                               :{}已使用：{CARGO_LONG}
STR_LINKGRAPH_STATS_TOOLTIP_PLANNED                             :{}已计划：{CARGO_LONG}
STR_LINKGRAPH_STATS_TOOLTIP_DISTANCE                            :曼哈顿距离：{COMMA} 格{}直线距离：{COMMA} 格

STR_LINKGRAPH_STATS_TOOLTIP_PRODUCTION_INTERVAL                 :{BLACK} 每个生产周期有 {CARGO_LONG} 从 {STATION} 运输至 {STATION}（运载容量的 {COMMA}%）{STRING}

STR_RAIL_TOOLBAR_TOOLTIP_BUILD_POLYRAIL                         :{BLACK}使用折线模式建设铁路。按住 <Ctrl> 键操作以移除铁路，按住 <Shift> 键操作以显示预计成本

STR_BUILD_SIGNAL_SEMAPHORE_PROG_TOOLTIP                         :{BLACK}可编程逻辑信号（臂板）{}可编程逻辑信号是一种复合信号，允许制定复杂的通行规则。
STR_BUILD_SIGNAL_SEMAPHORE_NO_ENTRY_TOOLTIP                     :{BLACK}禁入信号（臂板）{}路径信号灯为列车预留一条到安全停车位的路径，而其它路径仍然可以使用，从而允许一列以上的列车同时进入一个信号区间。禁入信号不允许列车逆行。
STR_BUILD_SIGNAL_ELECTRIC_PROG_TOOLTIP                          :{BLACK}可编程逻辑信号（电子）{}可编程逻辑信号是一种复合信号，允许制定复杂的通行规则。
STR_BUILD_SIGNAL_ELECTRIC_NO_ENTRY_TOOLTIP                      :{BLACK}禁入信号（电子）{}路径信号灯为列车预留一条到安全停车位的路径，而其它路径仍然可以使用，从而允许一列以上的列车同时进入一个信号区间。禁入信号不允许列车逆行。
STR_BUILD_SIGNAL_DEFAULT_STYLE                                  :默认
STR_BUILD_SIGNAL_STYLE_TOOLTIP                                  :{BLACK}选择信号样式

# Tracerestrict GUI
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_EQUALS                :是
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_NOT_EQUALS            :不是
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_LESS_THAN             :{NBSP}<
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_LESS_EQUALS           :{NBSP}≤
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_MORE_THAN             :{NBSP}>
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_MORE_EQUALS           :{NBSP}≥
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_CARGO_EQUALS          :可装载
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_CARGO_NOT_EQUALS      :不可装载
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_HAS_STATUS            :有
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_DOESNT_HAVE_STATUS    :没有
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_PASS                  :通过
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_DOESNT_PASS           :不通过
STR_TRACE_RESTRICT_CONDITIONAL_IF                               :如果
STR_TRACE_RESTRICT_CONDITIONAL_ELIF                             :否则如果
STR_TRACE_RESTRICT_CONDITIONAL_ORIF                             :或如果
STR_TRACE_RESTRICT_CONDITIONAL_ELSE                             :否则
STR_TRACE_RESTRICT_CONDITIONAL_ENDIF                            :判断结束
STR_TRACE_RESTRICT_VARIABLE_TRAIN_LENGTH                        :列车长度
STR_TRACE_RESTRICT_VARIABLE_MAX_SPEED                           :最高速度
STR_TRACE_RESTRICT_VARIABLE_CURRENT_ORDER                       :当前调度计划
STR_TRACE_RESTRICT_VARIABLE_NEXT_ORDER                          :下个调度计划
STR_TRACE_RESTRICT_VARIABLE_LAST_VISITED_STATION                :最后经由车站
STR_TRACE_RESTRICT_VARIABLE_CARGO                               :货物
STR_TRACE_RESTRICT_VARIABLE_LOAD_PERCENT                        :装载百分比
STR_TRACE_RESTRICT_VARIABLE_ENTRY_DIRECTION                     :进入方向
STR_TRACE_RESTRICT_VARIABLE_PBS_ENTRY_SIGNAL                    :路径预留区间起始信号
STR_TRACE_RESTRICT_VARIABLE_PBS_ENTRY_SIGNAL_LONG               :路径预留区间内信号
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_SIGNAL                  :路径预留区间结束信号
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_SIGNAL_LONG             :当前路径预留信号结束
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_TILE                    :路径结束格
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_TILE_LONG               :此信号的路径结束格
STR_TRACE_RESTRICT_VARIABLE_TRAIN_GROUP                         :列车分组
STR_TRACE_RESTRICT_VARIABLE_TRAIN_SLOT                          :当前槽位
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY                      :槽位占用率
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY_REMAINING            :剩余槽位占用率
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY_SHORT                :占用率
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY_REMAINING_SHORT      :剩余占用率
STR_TRACE_RESTRICT_VARIABLE_COUNTER_VALUE                       :计数器值
STR_TRACE_RESTRICT_VARIABLE_TIME_DATE_VALUE                     :当前时间日期
STR_TRACE_RESTRICT_VARIABLE_RESERVED_TILES_AHEAD                :前方预留格
STR_TRACE_RESTRICT_VARIABLE_TRAIN_WEIGHT                        :重量
STR_TRACE_RESTRICT_VARIABLE_TRAIN_POWER                         :功率
STR_TRACE_RESTRICT_VARIABLE_TRAIN_MAX_TE                        :最大牵引力
STR_TRACE_RESTRICT_VARIABLE_TRAIN_POWER_WEIGHT_RATIO            :功率重量比
STR_TRACE_RESTRICT_VARIABLE_TRAIN_MAX_TE_WEIGHT_RATIO           :最大牵引力/重力比
STR_TRACE_RESTRICT_VARIABLE_TRAIN_OWNER                         :列车所有者
STR_TRACE_RESTRICT_VARIABLE_TRAIN_STATUS                        :列车状态
STR_TRACE_RESTRICT_VARIABLE_TRAIN_ENGINE_CLASS                  :机车类别
STR_TRACE_RESTRICT_VARIABLE_ORDER_TARGET_DIRECTION              :调度目标方向
STR_TRACE_RESTRICT_VARIABLE_RESERVATION_THROUGH                 :预留路径格数
STR_TRACE_RESTRICT_VARIABLE_RESERVATION_THROUGH_SHORT           :预留路径
STR_TRACE_RESTRICT_VARIABLE_UNDEFINED                           :未定义
STR_TRACE_RESTRICT_VARIABLE_UNDEFINED_RED                       :{PUSH_COLOUR}{RED}未定义{POP_COLOUR}
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_INTEGER                  :{STRING}{STRING}{STRING} {COMMA}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_SPEED                    :{STRING}{STRING}{STRING} {VELOCITY}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_WEIGHT                   :{STRING}{STRING}{STRING} {WEIGHT_SHORT}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_POWER                    :{STRING}{STRING}{STRING} {POWER}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_FORCE                    :{STRING}{STRING}{STRING} {FORCE}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_POWER_WEIGHT_RATIO       :{STRING}{STRING}{STRING} {POWER_WEIGHT_RATIO}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_FORCE_WEIGHT_RATIO       :{STRING}{STRING}{STRING} {FORCE_WEIGHT_RATIO}，则
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_TIME_HHMM                :{STRING}{STRING}{STRING} {TIME_HHMM}，则
STR_TRACE_RESTRICT_CONDITIONAL_ORDER_STATION                    :{STRING}{STRING}{STRING} {STATION}，则
STR_TRACE_RESTRICT_CONDITIONAL_ORDER_WAYPOINT                   :{STRING}{STRING}{STRING} {WAYPOINT}，则
STR_TRACE_RESTRICT_CONDITIONAL_ORDER_DEPOT                      :{STRING}{STRING}{STRING} {DEPOT}，则
STR_TRACE_RESTRICT_CONDITIONAL_CARGO                            :{STRING}列车{STRING}{STRING}，则
STR_TRACE_RESTRICT_CONDITIONAL_ENTRY_DIRECTION                  :{STRING}列车{STRING}从{STRING}方进入格子的，则
STR_TRACE_RESTRICT_CONDITIONAL_ENTRY_SIGNAL_FACE                :{STRING}列车{STRING}从信号{STRING}侧进入的，则
STR_TRACE_RESTRICT_CONDITIONAL_ENTRY_SIGNAL_TYPE                :{STRING}列车{STRING}{STRING}，则
STR_TRACE_RESTRICT_CONDITIONAL_TILE_INDEX                       :{STRING}{STRING} {STRING} 在 {NUM} x {NUM}，则
STR_TRACE_RESTRICT_CONDITIONAL_GROUP                            :{STRING}列车{STRING}在组：“{GROUP}”内，则
STR_TRACE_RESTRICT_CONDITIONAL_GROUP_STR                        :{STRING}列车{STRING}在组：“{STRING}”内{BLACK}{STRING}，则
STR_TRACE_RESTRICT_CONDITIONAL_OWNER                            :{STRING}{STRING}{STRING}“{COMPANY}{COMPANY_NUM}”，则
STR_TRACE_RESTRICT_CONDITIONAL_SLOT                             :{STRING}列车{STRING}在槽位：“{TRSLOT}”内，则
