STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :Превосходный
STR_CONFIG_SETTING_SIMULATE_SIGNALS_HELPTEXT                    :Устанавливает целевое расстояние между светофорами для новых мостов и туннелей. Фактическое расстояние может немного отличаться от указанного, чтобы избежать неравномерного расположения. Изменение этого параметра не приводит к переоборудованию существующих мостов и туннелей со светофорами.
STR_CONFIG_SETTING_SIMULATE_SIGNALS_VALUE                       :{COMMA} клет{P ку ки ок}

STR_CONFIG_SETTING_DAY_LENGTH_FACTOR                            :Коэффициент уменьшения скорости экономики: {STRING}
STR_CONFIG_SETTING_DAY_LENGTH_FACTOR_HELPTEXT                   :Изменяет длительность экономических периодов времени и пропорционально замедляет игровые процессы, происходящие в эти периоды. Экономические периоды времени используются для: производства грузов предприятиями и городами, роста городов, естественных процессов (например, роста травы и деревьев), затрат на обслуживание инфраструктуры, подсчёта рейтинга станций и так далее.{}В режиме игрового времени «Календарь» эта настройка изменит продолжительность дней/месяцев/годов, и поэтому также замедляет процессы, контролируемые скоростью календаря, такие как появление и выход из эксплутации транспорта/домов/прочего и сезонные изменения, такие как перемещение снеговой линии.{}В режиме реального времени эта настройка изменит продолжительность периодов и производственных интервалов предприятий.{}{}Раньше эта настройка называлась «Коэффициент продолжительности дня».

STR_CONFIG_SETTING_TOWN_TUNNELS                                 :Строительство тоннелей городами: {STRING}
STR_CONFIG_SETTING_TOWN_TUNNELS_HELPTEXT                        :При каких условиях городам разрешено строить дорожные тоннели

STR_CONFIG_SETTING_TOWN_TUNNELS_FORBIDDEN                       :Запрещено
STR_CONFIG_SETTING_TOWN_TUNNELS_ALLOWED_OBSTRUCTION             :Разрешено только для небольших препятствий
STR_CONFIG_SETTING_TOWN_TUNNELS_ALLOWED                         :Разрешено

STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE                          :Ограничить строительство непрерывных наклонных дорог в городах: {STRING}
STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE_HELPTEXT                 :Ограничивает длину последовательных наклонных дорожных плит, которые будут строить города. Это может быть использовано для предотвращения роста городов от длинных прямых участков дорог вверх или вниз по склонам гор.
STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE_VALUE                    :{NUM} клет{P ку ки ок}
STR_CONFIG_SETTING_TOWN_MAX_ROAD_SLOPE_ZERO                     :Нет

STR_CONFIG_SETTING_ALLOW_TOWN_BRIDGES                           :Города могут строить мосты: {STRING}
STR_CONFIG_SETTING_ALLOW_TOWN_BRIDGES_HELPTEXT                  :Включение этой настройки разрешает городам строить мосты

STR_CONFIG_SETTING_INDUSTRY_CARGO_SCALE_HELPTEXT_EXTRA          :{STRING}{}Не действует на предприятия, занимающиеся вырубкой деревьев.{}Не гарантируется полная совместимость со всеми NewGRF предприятиями.

STR_CONFIG_SETTING_TOWN_CARGO_SCALE_MODE                        :Режим масштабирования производства грузов городами: {STRING}
STR_CONFIG_SETTING_INDUSTRY_CARGO_SCALE_MODE                    :Режим масштабирования производства грузов предприятиями: {STRING}

STR_CONFIG_SETTING_CARGO_SCALE_MODE_HELPTEXT                    :Коэффициент масштабирования производства грузов за месяц/производственный интервал. Может быть опционально умножен на коэффициент уменьшения скорости экономики.

STR_CONFIG_SETTING_CARGO_SCALE_MODE_NORMAL                      :Обычный
STR_CONFIG_SETTING_CARGO_SCALE_MODE_ECON_SPEED_REDUCTION_MULT   :Умножение на коэффициент уменьшения скорости экономики

STR_CONFIG_SETTING_CARGO_SCALE_VALUE_ECON_SPEED_REDUCTION_MULT  :{NUM}% x Коэффициент уменьшения скорости экономики

STR_CONFIG_SETTING_TOWN_ABOVE_HEIGHT                            :Никаких городов выше уровня: {STRING}
STR_CONFIG_SETTING_TOWN_ABOVE_HEIGHT_HELPTEXT                   :Во время создания карты не строятся города выше указанного уровня высоты.

STR_CONFIG_SETTING_MIN_TOWN_LAND_AREA                           :Минимальная площадь прилегающей территории для городов: {STRING}
STR_CONFIG_SETTING_MIN_TOWN_LAND_AREA_HELPTEXT                  :Города могут быть размещены только на примыкающих территориях, занимающих как минимум столько клеток.

STR_CONFIG_SETTING_MIN_CITY_LAND_AREA                           :Минимальная площадь прилегающей территории для мегаполисов: {STRING}
STR_CONFIG_SETTING_MIN_CITY_LAND_AREA_HELPTEXT                  :Мегаполисы могут быть размещены только на примыкающих территориях, занимающих как минимум столько клеток.

STR_CONFIG_SETTING_MIN_LAND_AREA_VALUE                          :{NUM}
STR_CONFIG_SETTING_MIN_LAND_AREA_ZERO                           :Отсутсвует

STR_CONFIG_SETTING_FLOOD_FROM_EDGES                             :Вода заливает края карты: {STRING}
STR_CONFIG_SETTING_FLOOD_FROM_EDGES_HELPTEXT                    :Заливает ли вода крайние плитки на уровне моря от края карты.

STR_CONFIG_SETTING_MAP_EDGE_MODE                                :Режим краёв карты: {STRING}
STR_CONFIG_SETTING_MAP_EDGE_MODE_HELPTEXT                       :Разрешается ли поднимать края карты над уровнем моря и как отображается пустота за пределами карты
STR_CONFIG_SETTING_MAP_EDGE_MODE_DEFAULT                        :По умолчанию
STR_CONFIG_SETTING_MAP_EDGE_MODE_SEA_LEVEL                      :Края карты ограничены уровнем моря
STR_CONFIG_SETTING_MAP_EDGE_MODE_SEA_LEVEL_OUTSIDE_WATER        :Края карты ограничены уровнем моря, пустота отображается как вода

STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE                        :Скорректированное размещение арктических деревьев: {STRING}
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_HELPTEXT               :Регулирует размещение деревьев вокруг снеговой линии в условиях субарктического климата. Деревья редеют выше линии снега. Деревья представляют собой смесь арктического и умеренного климата чуть ниже линии снега. Ниже этого уровня деревья находятся в умеренном климате.
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_RANGE                  :Радиус арктических деревьев: {STRING}
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_RANGE_HELPTEXT         :Примерный радиус арктических деревьев в районе снеговой линии
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_DYNAMIC_RANGE          :Сезонная ширина снеговой линии для арктических деревьев: {STRING}
STR_CONFIG_SETTING_TREES_AROUND_SNOWLINE_DYNAMIC_RANGE_HELPTEXT :При использовании сезонно изменяющейся снеговой линии, какой процент от вариации снеговой линии использовать в качестве снеговой линии для размещения арктических деревьев. 0% использует нижнюю (зимнюю) снеговую линию, 100% использует весь диапазон между летней и зимней снеговыми линиями.

STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS                           :Построить общественные дороги, соединяющие города: {STRING}
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_HELPTEXT                  :Создаёт общественные дороги, соединяющие города. Занимает некоторое время на больших картах. «Строить без изгибов» генерирует дороги, которые избегают изгибы и создают соединения, очень похожие на сетку.
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_NONE                      :Нет (по умолчанию)
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_WITH_CURVES               :Строить с изгибами
STR_CONFIG_SETTING_BUILD_PUBLIC_ROADS_AVOID_CURVES              :Стройть без изгибов

STR_CONFIG_SETTING_TREE_GROWTH                                  :Скорость роста деревьев: {STRING}
STR_CONFIG_SETTING_TREE_GROWTH_HELPTEXT                         :Контролирует скорость роста деревьев во время игры. Может повлиять на предприятия, которые зависят от роста деревьев, например, на лесопильные заводы.
STR_CONFIG_SETTING_TREE_GROWTH_NORMAL                           :Нормальная
STR_CONFIG_SETTING_TREE_GROWTH_SLOW                             :Медленная
STR_CONFIG_SETTING_TREE_GROWTH_VERY_SLOW                        :Очень медленная
STR_CONFIG_SETTING_TREE_GROWTH_EXTREMELY_SLOW                   :Крайне медленная
STR_CONFIG_SETTING_TREE_GROWTH_STATIC                           :Нулевая

STR_CONFIG_SETTING_TOWN_ZONES                                   :{ORANGE}Пользовательские городские зоны
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE                          :Использовать пользовательские расчеты городских зон: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE_HELPTEXT                 :Позволяет вручную настраивать размер городских зон, создаваемых городами. Значения по умолчанию для настроек пользовательской городской зоны аналогичны значениям для генерации города по умолчанию. Некоторые зоны требуют лишь небольших изменений, в то время как, в частности, Зона 0 выигрывает от больших значений.
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT                             :Множитель для Зоны Города 0: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT_HELPTEXT                    :Множитель для размера Зоны Города 0 (внешние дороги без покрытия). Эта настройка может выиграть от больших значений.
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT                             :Множитель для Зоны Города 1: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT_HELPTEXT                    :Множитель для размера Зоны Города 1 (внешняя зона с тротуарами). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT                             :Множитель для Зоны Города 2: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT_HELPTEXT                    :Множитель для размера Зоны Города 2 (внешняя зона с тротуарами). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT                             :Множитель для Зоны Города 3: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT_HELPTEXT                    :Множитель для размера Зоны Города 3 (внутренние дороги, обсаженные деревьями). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT                             :Множитель для Зоны Города 4: {STRING}
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT_HELPTEXT                    :Множитель для размера Зоны Города 4 (внутренние дороги с уличным освещением). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_CITY_ZONE_0_MULT                             :Множитель для Зоны Мегаполиса 0: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_0_MULT_HELPTEXT                    :Множитель для размера Зоны Мегаполиса 0 (внешние дороги без покрытия). Эта настройка может выиграть от больших значений.
STR_CONFIG_SETTING_CITY_ZONE_1_MULT                             :Множитель для Зоны Мегаполиса 1: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_1_MULT_HELPTEXT                    :Множитель для размера Зоны Мегаполиса 1 (внешняя зона с тротуарами). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_CITY_ZONE_2_MULT                             :Множитель для Зоны Мегаполиса 2: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_2_MULT_HELPTEXT                    :Множитель для размера Зоны Мегаполиса 2 (внешняя зона с тротуарами). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_CITY_ZONE_3_MULT                             :Множитель для Зоны Мегаполиса 3: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_3_MULT_HELPTEXT                    :Множитель для размера Зоны Мегаполиса 3 (внутренние дороги, обсаженные деревьями). Эта настройка лучше всего работает при незначительных изменениях.
STR_CONFIG_SETTING_CITY_ZONE_4_MULT                             :Множитель для Зоны Мегаполиса 4: {STRING}
STR_CONFIG_SETTING_CITY_ZONE_4_MULT_HELPTEXT                    :Множитель для размера Зоны Мегаполиса 4 (внутренние дороги с уличным освещением). Эта настройка лучше всего работает при незначительных изменениях.

STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED                :Скорость роста города зависит от перевозимых грузов: {STRING}
STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED_HELPTEXT       :Процент скорости роста города, который зависит от доли городских грузов, перевезённых за последний месяц.{}Этот процент от рассчитанной скорости роста города умножается на долю пассажиров и почты, которые были перевезены за последний месяц. Эта настройка может только уменьшить скорость роста города, но не увеличить её.

STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION                   :Вероятность случайной реконструкции городских дорог: {STRING}
STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION_HELPTEXT          :Вероятность случайной реконструкции городских дорог (0 = отсутствует, 1000 = максимальная)

STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM                      :Алгоритм оплаты грузоперевозок: {STRING}
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_HELPTEXT             :Алгоритм, по которому рассчитывается, сколько денег нужно заплатить за доставку груза к месту назначения.
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_TRADITIONAL          :Традиционный
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_MODERN               :Современный

STR_CONFIG_SETTING_TICK_RATE                                    :Скорость игровых тиков: {STRING}
STR_CONFIG_SETTING_TICK_RATE_HELPTEXT                           :Количество миллисекунд на один игровой тик.
STR_CONFIG_SETTING_TICK_RATE_TRADITIONAL                        :30 мс/тик (традиционная)
STR_CONFIG_SETTING_TICK_RATE_MODERN                             :27 мс/тик (современная)

STR_CONFIG_SETTING_TOWN_MIN_DISTANCE                            :Минимальное расстояние между городами: {STRING}
STR_CONFIG_SETTING_TOWN_MIN_DISTANCE_HELPTEXT                   :Устанавливает минимальное расстояние между городами (в клетках) при генерации карты и случайном основании.

STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO                       :Переопределение режима распределения для этого груза: {STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_PARAM                 :Переопределение режима распределения для {STRING}: {STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_HELPTEXT              :«(по умолчанию)» означает, что режим распределения является стандартным для класса этого груза. «симметричный» означает, что со станции А на станцию Б будет отправлено примерно столько же грузов, сколько со станции Б на А. «асимметричный» означает, что произвольное количество груза может быть отправлено в любом направлении. «ручной» означает, что для этого груза не будет проводиться автоматическое распределение.
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_DEFAULT               :(по умолчанию)
STR_CONFIG_SETTING_DISTRIBUTION_HELPTEXT_EXTRA                  :{STRING}{}«Асимметричный (равномерное распределение)» означает, что груз будет распределен таким образом, что каждая принимающая станция получит примерно одинаковое количество груза в целом. «Асимметричный (ближайший)» означает, что груз будет отправляться на ту станцию, которая находится ближе всего.

STR_CONFIG_SETTING_AIRCRAFT_PATH_COST                           :Масштаб расстояния путей, на которых используется авиатранспорт: {STRING}
STR_CONFIG_SETTING_AIRCRAFT_PATH_COST_HELPTEXT                  :Увеличивает стоимость (метрику расстояния) путей, использующих авиатранспорт, так что они кажутся более длинными/менее прямыми, чем есть на самом деле. Снижает вероятность того, что прямые маршруты с использованием самолетов окажутся сильно перегруженными.

STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER          :Синхронизация настроек локализации с сервером в многопользовательской игре: {STRING}
STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER_HELPTEXT :При подключении к многопользовательской игре в качестве сетевого клиента измените настройки локализации, чтобы они соответствовали серверу.

STR_CONFIG_SETTING_INTERFACE_DEPARTUREBOARDS                    :{ORANGE}Доски для отбытия
STR_CONFIG_SETTING_INTERFACE_WALLCLOCK                          :{ORANGE}Реальное время
STR_CONFIG_SETTING_INTERFACE_TIME_CLIENT                        :{ORANGE}Настройки клиента
STR_CONFIG_SETTING_INTERFACE_TIME_SAVEGAME                      :{ORANGE}Настройки сохранения игры
STR_CONFIG_SETTING_INTERFACE_TIMETABLE                          :{ORANGE}Расписания
STR_CONFIG_SETTING_INTERFACE_SIGNALS                            :{ORANGE}Светофоры
STR_CONFIG_SETTING_INTERFACE_SAVE                               :{ORANGE}Сохранение и автосохранение
STR_CONFIG_SETTING_INTERFACE_VEHICLE_WINDOWS                    :{ORANGE}Окна транспортного средства
STR_CONFIG_SETTING_GENWORLD_RIVERS_LAKES                        :{ORANGE}Реки и озёра
STR_CONFIG_SETTING_ENVIRONMENT_CARGODIST_PER_CARGO_OVERRIDE     :{ORANGE}Распределение грузов - переопределение по каждому грузу
STR_CONFIG_SETTING_VIEWPORT_MAP_OPTIONS                         :{ORANGE}Режим карты
STR_CONFIG_SETTING_VEHICLE_ROUTE_OVERLAY                        :{ORANGE}Оверлей маршрутов транспортных средств
STR_CONFIG_SETTING_SHARING                                      :{ORANGE}Совместное использование инфраструктуры

STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE                  :Изменять маршрут движения автотранспорта при изменении планировки дороги: {STRING}
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_HELPTEXT         :Нужно ли изменять маршрут всех автотранспортных средств на карте при изменении схемы дорог.{}Это может повысить скорость реагирования автотранспорта на изменение планировки дороги за счет снижения производительности.{}Обратите внимание, что если установить значение «Да», то рост города может вызвать изменение маршрута движения транспорта, что может привести к замедлению работы на больших картах.
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_NO               :Нет
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_REMOVE_ONLY      :Только при удалении дорог
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_YES              :Да

STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS              :Включить настраиваемые опоры дорожных мостов: {STRING}
STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS_HELPTEXT     :Позволяет дорожным мостам иметь пользовательские, непрямые плоские клетки для въезда/выезда
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS              :Включить настраиваемые опоры железнодорожных мостов: {STRING}
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS_HELPTEXT     :Позволяет железнодорожным мостам иметь нестандартные, непрямые плоские клетки для въезда/выезда

STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES              :Разрешить все объекты NewGRF под мостами: {STRING}
STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES_HELPTEXT     :Разрешить всем объектам NewGRF строиться под мостами, даже если это не разрешено GRF.{}Может вызвать проблемы с графикой.

STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES             :Разрешить железнодорожные станции/маршрутные точки NewGRF под мостами: {STRING}
STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES_HELPTEXT    :Если включено, NewGRF железнодорожные станции/маршрутные точки, для которых не указано, можно ли их строить под мостами, будут разрешены под мостами без ограничений.{}Может вызвать проблемы с графикой.

STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES            :Разрешить дорожные/трамвайные остановки под мостами: {STRING}
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT   :Разрешает дорожные/трамвайные остановки под мостами. Для сквозных остановок требуется 1 уровень высоты, для въездных - 2 уровня.
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT_EXTRA :{STRING}{}{}NewGRF дорожные/трамвайные остановки могут изменять эту настройку и разрешать или запрещать пользовательские остановки под мостами, а также устанавливать собственные требования к уровню высоты.

STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES                    :Разрешить пристани под мостами: {STRING}
STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES_HELPTEXT           :Разрешает пристани под мостами. Пристани требуют 2 уровня высоты.{}Может вызвать проблемы с графикой.

STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED                      :Разрешение на покупку земли: {STRING}
STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED_HELPTEXT             :Установить, разрешено ли компаниям приобретать земельные участки и в каком количестве.

STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED                       :Разрешить массовое строительство объектов: {STRING}
STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED_HELPTEXT              :Установить, разрешено ли компаниям строить объекты по районам, а не по одному.

STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER                      :Объекты не устаревают после: {STRING}
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_HELPTEXT             :Объекты, срок действия которых в противном случае истек бы в этом году, остаются доступными навсегда
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_VALUE                :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_ZERO                 :Отключено

STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES                    :Игнорировать даты введения объектов: {STRING}
STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES_HELPTEXT           :Установите, разрешено ли игрокам строить объекты до даты их введения.{}Не применяется к объектам, построенным в процессе создания карты.

STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES            :Разрешить переоборудование городских дорог под дороги, не предназначенные для жилых домов: {STRING}
STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES_HELPTEXT   :Могут ли игроки переводить дороги, принадлежащие городу, в тип дороги, не позволяющий строить дома.{}По умолчанию - отключено, поскольку может помешать городам строить дома, что приведет к уменьшению городов.

STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND                  :Использовать чистую клетку грунта для приобретенной земли: {STRING}
STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND_HELPTEXT         :Если эта функция включена, то купленная земля будет отображаться с использованием того же типа грунта, что и клетки чистой земли, то емть голая земля - трава, побережье, снег, пустыня и так далее.

STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY                  :Генерировать только сырьевые предприятия: {STRING}
STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY_HELPTEXT         :Если включено, то при создании карты и во время игры будут появляться только сырьевые предприятия.

STR_CONFIG_SETTING_INDUSTRY_EVENT_RATE                          :Частота событий на предприятиях: {STRING}
STR_CONFIG_SETTING_INDUSTRY_EVENT_RATE_HELPTEXT                 :Установите количество событий на предприятиях за экономический период времени в системе отчёта времени «Реальное время», или за месяц/год в системе отчёта времени «Календарь». Это включает в себя изменения в производстве, открытие и закрытие предприятий.

STR_PURCHASE_LAND_PERMITTED_NO                                  :Нет
STR_PURCHASE_LAND_PERMITTED_SINGLE                              :Да, по 1 клетке за раз
STR_PURCHASE_LAND_PERMITTED_AREA                                :Да, по большой площади за раз

STR_PURCHASE_LAND_NOT_PERMITTED                                 :Покупка земли не разрешается
STR_PURCHASE_LAND_NOT_PERMITTED_BULK                            :Покупка больших участков земли не допускается

STR_BUILD_OBJECT_NOT_PERMITTED_BULK                             :Не разрешается застраивать большие площади объектами

STR_CONFIG_SETTING_ADJACENT_CROSSINGS                           :Закрытие прилегающих переходов: {STRING}
STR_CONFIG_SETTING_ADJACENT_CROSSINGS_HELPTEXT                  :Закрывает все соседние переходы на параллельных путях, если один или несколько заняты.

STR_CONFIG_SETTING_SAFER_CROSSINGS                              :Более безопасные переходы: {STRING}
STR_CONFIG_SETTING_SAFER_CROSSINGS_HELPTEXT                     :Изменения на переездах для повышения безопасности дорожных транспортных средств.

STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE                       :Взымать плату за починку ТС: {STRING}
STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE_HELPTEXT              :Если включено, в депо будет взыматься плата за ремонт каждой поломки транспортного средства

STR_CONFIG_SETTING_REPAIR_COST                                  :Стоимость ремонта: 1/{STRING} полной стоимости ТС
STR_CONFIG_SETTING_REPAIR_COST_HELPTEXT                         :Стоимость ремонта вышедших из строя автомобилей в долях от текущей стоимости покупки автомобиля. Стоимость удваивается, если автомобиль старше максимального возраста.

STR_CONFIG_OCCUPANCY_SMOOTHNESS                                 :Плавность измерения заполненности порядка: {STRING}
STR_CONFIG_OCCUPANCY_SMOOTHNESS_HELPTEXT                        :0% устанавливает измерение на самое актуальное значение, 100% оставляет его без изменений.

STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE                       :Предварительное задание после клонирования/копирования/обмена: {STRING}
STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE_HELPTEXT              :После клонирования транспортного средства или копирования/обмена заданий с существующим транспортным средством.{}Для поездов, автотранспорта и кораблей: если транспортное средство находится в депо, которое есть в списке заданий, перейдите к заказу, который следует за одним из заданий для этого депо.{}Для авиатранспорта: если воздушное судно находится в ангаре и соответствующий аэропорт есть в списке заданий, перейдите к одному из заданий для этого аэропорта.

STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP                      :Добавлять транспортное средство в группу при копировании-клонировании: {STRING}
STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP_HELPTEXT             :Установите, нужно ли добавлять клонированные транспортные средства, не имеющие общих заданий, в группу скопированного транспортного средства.

STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION            :Остаться на станции, если следующее задание касается той же станции: {STRING}
STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION_HELPTEXT   :Если следующее задание транспортного средства относится к той же станции, с которой оно собиралось уехать, начать погрузку/разгрузку снова, а не уезжать.

STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS                   :При перетаскивании автозаполнения продолжать движение мимо станций/маршрутных точек: {STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS_HELPTEXT          :Выберите поведение размещения светофоров при Ctrl+перетаскивание светофоров. Если отключено, то размещение светофора прекращается при достижении станции/маршрутной точки. Если включено, то размещение светофоров продолжается на дальней стороне железнодорожных станций/маршрутных точек.

STR_CONFIG_SETTING_DRAG_SIGNALS_STOP_RESTRICTED_SIGNAL          :При удалении сигналов с помощью автозаполнения останавливаться на запрещённых сигналах: {STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_STOP_RESTRICTED_SIGNAL_HELPTEXT :Выберите поведение размещения сигнала при удалении сигнала с помощью Ctrl+перетаскивание. Если включено, то удаление сигналов прекращается при достижении сигнала с установленной программой ограничения маршрутизации.

STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED                   :{WHITE}Невозможно изменить настройку...
STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED_NEWGRF            :{WHITE}...ею управляет NewGRF

STR_CONFIG_SETTING_TIMETABLE_IN_TICKS                           :Показывать расписание в тиках, а не в днях: {STRING}
STR_CONFIG_SETTING_TIMETABLE_IN_TICKS_HELPTEXT                  :Время пути в графиках движения будет измеряться игровыми тиками, а не днями.

STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_CALENDAR           :{RED}[Настройка отсключена при системе отчёта времени «Календарь»]
STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_WALLCLOCK          :{RED}[Настройка отсключена при системе отчёта времени «Реальное время»]

STR_CHEAT_EDIT_MONEY_QUERY_CAPT                                 :{WHITE}Увеличить или уменьшить количество денег
STR_CHEAT_INFLATION_COST                                        :{LTBLUE}Изменение уровня инфляции: {ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_COST_QUERY_CAPT                             :{WHITE}Изменение уровня инфляции
STR_CHEAT_INFLATION_INCOME                                      :{LTBLUE}Изменение уровня инфляции доходов: {ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_INCOME_QUERY_CAPT                           :{WHITE}Изменение уровня инфляции доходов
STR_CHEAT_TOWN_RATING                                           :{LTBLUE}Рейтинг у городской администрации зафиксирован на «Великолепном» уровне: {ORANGE}{STRING}

STR_NETWORK_MESSAGE_GIVE_MONEY_RECEIVE                          :*** {STRING} даёт вашей компании {2:CURRENCY_LONG}
STR_NETWORK_MESSAGE_GAVE_MONEY_AWAY                             :*** Вы дали {1:STRING} {2:CURRENCY_LONG}
