STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完善
STR_CONFIG_SETTING_TREE_GROWTH_VERY_SLOW                        :很慢
STR_CONFIG_SETTING_TREE_GROWTH_EXTREMELY_SLOW                   :極慢
STR_CONFIG_SETTING_TREE_GROWTH_STATIC                           :停滯

STR_CONFIG_SETTING_TOWN_ZONES                                   :{ORANGE}自訂市鎮區域
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE                          :使用自訂市鎮區域計算方式：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_CALC_MODE_HELPTEXT                 :手動設定市鎮區域。自訂市鎮區域的預設設定類似於預設市鎮產生設定。當區域 0 在特定的更大的值得時候一些區域只需要很小的更改。
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT                             :市鎮區域 0 因數：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_0_MULT_HELPTEXT                    :市鎮區域 0 大小因數（最外面的沒有人行道的道路）這個設定適合更大的值
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT                             :市鎮區域 1 因數：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_1_MULT_HELPTEXT                    :市鎮區域 1 大小因數（有人行道的外部區域）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT                             :市鎮區域 2 因數：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_2_MULT_HELPTEXT                    :市鎮區域 2 大小因數（有人行道的外部區域）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT                             :市鎮區域 3 因數：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_3_MULT_HELPTEXT                    :市鎮區域 3 大小因數（帶有樹木的道路）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT                             :市鎮區域 4 因數：{STRING}
STR_CONFIG_SETTING_TOWN_ZONE_4_MULT_HELPTEXT                    :市鎮區域 4 大小因數（帶有路燈的道路）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_CITY_ZONE_0_MULT                             :城市區域 0 因數：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_0_MULT_HELPTEXT                    :城市區域 0 大小因數（最外面的沒有人行道的道路）這個設定適合更大的值
STR_CONFIG_SETTING_CITY_ZONE_1_MULT                             :城市區域 1 因數：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_1_MULT_HELPTEXT                    :城市區域 1 大小因數（有人行道的外部區域）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_CITY_ZONE_2_MULT                             :城市區域 2 因數：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_2_MULT_HELPTEXT                    :城市區域 2 大小因數（有人行道的外部區域）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_CITY_ZONE_3_MULT                             :城市區域 3 因數：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_3_MULT_HELPTEXT                    :城市區域 3 大小因數（帶有樹木的道路）這個設定在有較小的變更時效果最好
STR_CONFIG_SETTING_CITY_ZONE_4_MULT                             :城市區域 4 因數：{STRING}
STR_CONFIG_SETTING_CITY_ZONE_4_MULT_HELPTEXT                    :城市區域 4 大小因數（帶有路燈的道路）這個設定在有較小的變更時效果最好

STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED                :市鎮擴張速度取決於已運輸的貨物：{STRING}
STR_CONFIG_SETTING_TOWN_GROWTH_CARGO_TRANSPORTED_HELPTEXT       :市鎮擴張速度取決於上個月運輸到市鎮的貨物數量

STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION                   :隨機市鎮道路重建的可能性：{STRING}
STR_CONFIG_SETTING_RANDOM_ROAD_RECONSTRUCTION_HELPTEXT          :隨機市鎮道路重建的可能性（0 = 無，1000 = 最大）

STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM                      :貨物運費算法：{STRING}
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_HELPTEXT             :決定貨物運費的算法
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_TRADITIONAL          :原版
STR_CONFIG_SETTING_CARGO_PAYMENT_ALGORITHM_MODERN               :現代

STR_CONFIG_SETTING_TICK_RATE                                    :一遊戲刻所對應的毫秒數：{STRING}
STR_CONFIG_SETTING_TICK_RATE_HELPTEXT                           :設定每一遊戲刻所對應的毫秒數
STR_CONFIG_SETTING_TICK_RATE_TRADITIONAL                        :30 ms/刻（原版）
STR_CONFIG_SETTING_TICK_RATE_MODERN                             :27 ms/刻（現代）

STR_CONFIG_SETTING_TOWN_MIN_DISTANCE                            :市鎮間最小距離：{STRING}
STR_CONFIG_SETTING_TOWN_MIN_DISTANCE_HELPTEXT                   :設定在產生地圖時市鎮間的最小距離

STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO                       :對此貨物重載分配模式：{STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_PARAM                 :重載{STRING}的分配模式：{STRING}
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_HELPTEXT              :「預設」使用預設配置{}「對稱」意味著從甲車站運往乙車站的貨物數量與從乙車站運往甲車站的大致相同{}「不對稱」意味著任何一站前往另一個車站的貨物的數量會被系統任意地決定{}「手動」意味著對於此類貨物系統不會自動分配其目的地
STR_CONFIG_SETTING_DISTRIBUTION_PER_CARGO_DEFAULT               :預設
STR_CONFIG_SETTING_DISTRIBUTION_HELPTEXT_EXTRA                  :{STRING}{}「不對稱（平衡分布）」意味著貨物將被平均分配到接收該類型貨物的車站。「不平衡（最近距離）」意味著貨物會被送到最近的任何一個接收該類型貨物的車站。

STR_CONFIG_SETTING_AIRCRAFT_PATH_COST                           :使用飛機時路徑的距離縮放：{STRING}
STR_CONFIG_SETTING_AIRCRAFT_PATH_COST_HELPTEXT                  :這是當使用飛機時，對於路徑（度量距離）的費用計算的縮放系數，這可以讓它們比它們實際更長或更短。這可以減小飛機由於直線飛行導致空域超出負荷的流量。

STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER          :在多人連線伺服器中同步本地化設定：{STRING}
STR_CONFIG_SETTING_SYNC_LOCALE_SETTINGS_NETWORK_SERVER_HELPTEXT :當通過網絡用戶端加入多玩家伺服器時，改變本地化設定來符合伺服器

STR_CONFIG_SETTING_INTERFACE_DEPARTUREBOARDS                    :{ORANGE}班次顯示板
STR_CONFIG_SETTING_INTERFACE_TIMETABLE_CLOCK                    :{ORANGE}時刻表時鐘
STR_CONFIG_SETTING_INTERFACE_TIME_CLIENT                        :{ORANGE}用戶端設定
STR_CONFIG_SETTING_INTERFACE_TIME_SAVEGAME                      :{ORANGE}遊戲儲存設定
STR_CONFIG_SETTING_INTERFACE_TIMETABLE                          :{ORANGE}時刻表
STR_CONFIG_SETTING_INTERFACE_SIGNALS                            :{ORANGE}號誌
STR_CONFIG_SETTING_INTERFACE_SAVE                               :{ORANGE}存檔與自動存檔
STR_CONFIG_SETTING_INTERFACE_VEHICLE_WINDOWS                    :{ORANGE}車輛視窗
STR_CONFIG_SETTING_GENWORLD_RIVERS_LAKES                        :{ORANGE}河流和湖泊
STR_CONFIG_SETTING_ENVIRONMENT_CARGODIST_PER_CARGO_OVERRIDE     :{ORANGE}貨物分配 - 重載特定貨物的模式
STR_CONFIG_SETTING_VIEWPORT_MAP_OPTIONS                         :{ORANGE}地圖模式
STR_CONFIG_SETTING_VEHICLE_ROUTE_OVERLAY                        :{ORANGE}車輛路徑重疊層
STR_CONFIG_SETTING_SHARING                                      :{ORANGE}基建共享

STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE                  :當道路布局改變時重新規劃道路車輛：{STRING}
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_HELPTEXT         :當道路布局被改變時是否重新規劃地圖上全部的道路車輛{}這可以在改變道路布局時改善費用計算情況的準確度{}注意，如果這個選項被設定為「是」，則市鎮擴張將觸發道路車輛的路徑重新規劃，在使用較大的地圖時可能導致卡頓
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_NO               :否
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_REMOVE_ONLY      :僅當道路移除時
STR_CONFIG_SETTING_REROUTE_RV_ON_LAYOUT_CHANGE_YES              :是

STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS              :啟用道路大橋自訂橋頭：{STRING}
STR_CONFIG_SETTING_ENABLE_ROAD_CUSTOM_BRIDGE_HEADS_HELPTEXT     :允許在道路大橋的頭尾建設彎道或平交道
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS              :啟用鐵道大橋自訂橋頭：{STRING}
STR_CONFIG_SETTING_ENABLE_RAIL_CUSTOM_BRIDGE_HEADS_HELPTEXT     :允許在鐵道大橋的頭尾建設彎道或道岔

STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES              :允許在橋下建設 NewGRF 物體：{STRING}
STR_CONFIG_SETTING_ALLOW_GRF_OBJECTS_UNDER_BRIDGES_HELPTEXT     :允許在橋下建設 NewGRF 物體{}這可能導致圖像錯誤

STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES             :允許在橋下建設 NewGRF 鐵道車站與號誌站：{STRING}
STR_CONFIG_SETTING_ALLOW_GRF_STATIONS_UNDER_BRIDGES_HELPTEXT    :啟用後將忽略 NewGRF 鐵道車站與號誌站的高度限制{}這可能導致圖像錯誤

STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES            :允許在橋下建設道路/有軌電車站：{STRING}
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT   :允許把道路/有軌電車站建在橋下{}車輛通過大橋而不停站需要橋樑的高度至少為一格，要讓車輛停靠在此類號誌站則要求橋樑的高度至少為兩格
STR_CONFIG_SETTING_ALLOW_ROAD_STATIONS_UNDER_BRIDGES_HELPTEXT_EXTRA :{STRING}{}{}NewGRF 道路/有軌電車站可以覆蓋這一設定，並允許或不允許在橋下建設車站，並設定自訂的高度空間要求

STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES                    :允許在橋下建設船塢：{STRING}
STR_CONFIG_SETTING_ALLOW_DOCKS_UNDER_BRIDGES_HELPTEXT           :允許把船塢建在橋下，船塢需要兩格高度的空間{}這可能導致圖像錯誤

STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED                      :購買土地行為：{STRING}
STR_CONFIG_SETTING_PURCHASE_LAND_PERMITTED_HELPTEXT             :設定是否允許公司購買土地，並規定單次購買數量

STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED                       :景觀物體建設上限：{STRING}
STR_CONFIG_SETTING_BUILD_OBJECT_PERMITTED_HELPTEXT              :設定每間公司可建設的景觀物體上限

STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER                      :在 {STRING} 年將沒有物體過期
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_HELPTEXT             :在指定年份之後，物體不會失效
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_VALUE                :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_OBJECTS_AFTER_ZERO                 :停用

STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES                    :忽略建築物引入日期：{STRING}
STR_CONFIG_SETTING_IGNORE_OBJECT_INTRO_DATES_HELPTEXT           :設定是否允許玩家在建築物引入之前就能建設這些建築物{}這對於在地圖產生過程中產生的建築物不適用

STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES            :允許將市鎮道路轉換為不允許產生房屋的道路類型：{STRING}
STR_CONFIG_SETTING_ALLOW_CONVERT_TOWN_ROAD_NO_HOUSES_HELPTEXT   :決定玩家是否可以將市鎮道路轉為不允許產生房屋的道路類型{}此選項預設關閉，因為這可能導致市鎮規模大減

STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND                  :使用地塊原始圖像呈現公司土地：{STRING}
STR_CONFIG_SETTING_PURCHASED_LAND_CLEAR_GROUND_HELPTEXT         :啟用時，使用地塊的原始圖像呈現公司購買的土地，即顯示草地、沙地、雪地、海岸等。

STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY                  :僅產生初階產業：{STRING}
STR_CONFIG_SETTING_SPAWN_PRIMARY_INDUSTRY_ONLY_HELPTEXT         :啟用時，在地圖產生與遊戲進行中只會產生初階產業。

STR_CONFIG_SETTING_INDUSTRY_EVENT_RATE                          :工業事件頻率：{STRING}
STR_CONFIG_SETTING_INDUSTRY_EVENT_RATE_HELPTEXT                 :縮放經濟週期內的工業事件頻率，包括工業生產變化、開業和倒閉。

STR_PURCHASE_LAND_PERMITTED_NO                                  :否
STR_PURCHASE_LAND_PERMITTED_SINGLE                              :允許單格操作
STR_PURCHASE_LAND_PERMITTED_AREA                                :允許拖拽操作

STR_PURCHASE_LAND_NOT_PERMITTED                                 :不允許購買土地
STR_PURCHASE_LAND_NOT_PERMITTED_BULK                            :不允許大範圍購買土地

STR_BUILD_OBJECT_NOT_PERMITTED_BULK                             :不允許大範圍建築物體

STR_CONFIG_SETTING_ADJACENT_CROSSINGS                           :關閉相連的平交道：{STRING}
STR_CONFIG_SETTING_ADJACENT_CROSSINGS_HELPTEXT                  :只要有一個或多個平交道被使用，就關閉所有與之相連的平交道

STR_CONFIG_SETTING_SAFER_CROSSINGS                              :更安全的平交道：{STRING}
STR_CONFIG_SETTING_SAFER_CROSSINGS_HELPTEXT                     :道路車輛將不會與列車相撞

STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE                       :自動繳付車輛維護費：{STRING}
STR_CONFIG_SETTING_PAY_FOR_REPAIR_VEHICLE_HELPTEXT              :繳付維護費以維護損壞的車輛

STR_CONFIG_SETTING_REPAIR_COST                                  :維護車輛的成本為車輛購置成本的 1/{STRING}
STR_CONFIG_SETTING_REPAIR_COST_HELPTEXT                         :將維護車輛的成本設定為購買車輛成本 1/x{}如果車輛的使用年限超過其最高使用年限，則費用翻倍

STR_CONFIG_OCCUPANCY_SMOOTHNESS                                 :調度使用的測量平滑度：{STRING}
STR_CONFIG_OCCUPANCY_SMOOTHNESS_HELPTEXT                        :將此項設定為 0% 時，車輛的載貨變化將立即在調度使用中反映出來。將此項設定為 100% 時，調度使用將維持不變

STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE                       :克隆/複製/共享調度任務的進階設定：{STRING}
STR_CONFIG_SETTING_ADVANCE_ORDER_ON_CLONE_HELPTEXT              :在克隆/複製/共享現有車輛的調度任務後：{}對於列車、汽車、船舶：如果車輛在一個車廠中，該車廠在調度任務清單中，則跳到該車廠的調度任務之一。{}對於飛機：如果飛機在機棚中，相關的機場在調度任務清單中，則跳到該機場的調度任務之一。

STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP                      :在複製 - 克隆群組中增加車輛：{STRING}
STR_CONFIG_SETTING_COPY_CLONE_ADD_TO_GROUP_HELPTEXT             :設定是否將不共享調度任務的車輛增加到車輛克隆群組中

STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION            :如果下一個任務是在同一車站，則留在車站：{STRING}
STR_CONFIG_SETTING_REMAIN_IF_NEXT_ORDER_SAME_STATION_HELPTEXT   :如果車輛的下一個任務是為當前車站，那麼車輛將停留在原地裝卸貨而不是駛離當前車站

STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS                   :使用 <Ctrl> 鍵拖拽設定號誌時忽略號誌站與車站：{STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_SKIP_STATIONS_HELPTEXT          :設定使用 <Ctrl> 鍵拖拽設定號誌時的行為。停用時，當遊戲檢測到到達車站或號誌站時號誌設定停止。啟用時，號誌檢測將忽略車站與號誌站並繼續設定號誌。

STR_CONFIG_SETTING_DRAG_SIGNALS_STOP_RESTRICTED_SIGNAL          :使用 <Ctrl> 鍵拖拽移除號誌時在尋路限制號誌處停止：{STRING}
STR_CONFIG_SETTING_DRAG_SIGNALS_STOP_RESTRICTED_SIGNAL_HELPTEXT :設定使用 <Ctrl> 鍵拖拽移除號誌時的行為。啟用時，遊戲將在檢測到號誌有尋路限制邏輯時停止移除號誌。

STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED                   :{WHITE}不能更改設定……
STR_CONFIG_SETTING_NETWORK_CHANGE_NOT_ALLOWED_NEWGRF            :{WHITE}……有 NewGRF 使用此設定

STR_CONFIG_SETTING_TIMETABLE_IN_TICKS                           :顯示時刻表時以刻度數目取代日為單位：{STRING}
STR_CONFIG_SETTING_TIMETABLE_IN_TICKS_HELPTEXT                  :在時刻表上以刻度數目取代日數顯示運行時間

STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_CALENDAR           :{RED}[本設定在日曆時間模式中停用]
STR_CONFIG_SETTING_DISABLED_TIMEKEEPING_MODE_WALLCLOCK          :{RED}[本設定在掛鐘時間模式中停用]

STR_CHEAT_EDIT_MONEY_QUERY_CAPT                                 :{WHITE}增加或減少金錢
STR_CHEAT_INFLATION_COST                                        :{LTBLUE}改變支出通脹因數：{ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_COST_QUERY_CAPT                             :{WHITE}改變支出通脹因數
STR_CHEAT_INFLATION_INCOME                                      :{LTBLUE}改變收入通脹因數：{ORANGE}{DECIMAL}
STR_CHEAT_INFLATION_INCOME_QUERY_CAPT                           :{WHITE}改變收入通脹因數
STR_CHEAT_TOWN_RATING                                           :{LTBLUE}市鎮評價鎖定為「完美」：{ORANGE}{STRING}

STR_NETWORK_MESSAGE_GIVE_MONEY_RECEIVE                          :*** {STRING} 給了你的公司 {2:CURRENCY_LONG}
STR_NETWORK_MESSAGE_GAVE_MONEY_AWAY                             :*** 你給了 {1:STRING} {2:CURRENCY_LONG}
STR_NETWORK_MESSAGE_MONEY_GIVE_SRC_DESCRIPTION                  :{STRING}（{COMPANY}）

STR_TRANSPARENT_LOADING_TOOLTIP                                 :{BLACK}切換裝載進度指示是否透明{}按住 <Ctrl> 鍵點擊可鎖定
STR_TRANSPARENT_TUNNELS_TOOLTIP                                 :{BLACK}切換隧道內車輛是否透明{}按住 <Ctrl> 鍵點擊可鎖定

STR_LINKGRAPH_STATS_TOOLTIP_TIME_EXTENSION_GENERAL              :{}平均行駛時間：{STRING}
STR_LINKGRAPH_STATS_TOOLTIP_CAPACITY                            :{}容量：{CARGO_LONG}
STR_LINKGRAPH_STATS_TOOLTIP_USAGE                               :{}已使用：{CARGO_LONG}
STR_LINKGRAPH_STATS_TOOLTIP_PLANNED                             :{}已計劃：{CARGO_LONG}
STR_LINKGRAPH_STATS_TOOLTIP_DISTANCE                            :曼哈頓距離：{COMMA} 格{}直線距離：{COMMA} 格

STR_LINKGRAPH_STATS_TOOLTIP_PRODUCTION_INTERVAL                 :{BLACK} 每個生產週期有 {CARGO_LONG} 從 {STATION} 運輸至 {STATION}（運載容量的 {COMMA}%）{STRING}

STR_RAIL_TOOLBAR_TOOLTIP_BUILD_POLYRAIL                         :{BLACK}使用多段線模式建設鐵道。按住 <Ctrl> 鍵操作以移除鐵道，按住 <Shift> 鍵操作以顯示預計成本

STR_BUILD_SIGNAL_SEMAPHORE_PROG_TOOLTIP                         :{BLACK}可編程邏輯號誌（臂木）{}可編程邏輯號誌是一種綜合號誌，允許制定複雜的通行規則。
STR_BUILD_SIGNAL_SEMAPHORE_NO_ENTRY_TOOLTIP                     :{BLACK}禁止進入號誌（臂木）{}路徑號誌燈為列車預留一條到安全停車位的路徑，而其它路徑仍然可以使用，從而允許一列以上的列車同時進入一個號誌區間。禁止進入號誌不允許列車逆行。
STR_BUILD_SIGNAL_ELECTRIC_PROG_TOOLTIP                          :{BLACK}可編程邏輯號誌（電力）{}可編程邏輯號誌是一種綜合號誌，允許制定複雜的通行規則。
STR_BUILD_SIGNAL_ELECTRIC_NO_ENTRY_TOOLTIP                      :{BLACK}禁止進入號誌（電力）{}路徑號誌燈為列車預留一條到安全停車位的路徑，而其它路徑仍然可以使用，從而允許一列以上的列車同時進入一個號誌區間。禁止進入號誌不允許列車逆行。
STR_BUILD_SIGNAL_DEFAULT_STYLE                                  :預設
STR_BUILD_SIGNAL_STYLE_TOOLTIP                                  :{BLACK}選擇號誌款式

# Tracerestrict GUI
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_EQUALS                :是
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_NOT_EQUALS            :不是
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_LESS_THAN             :{NBSP}<
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_LESS_EQUALS           :{NBSP}≤
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_MORE_THAN             :{NBSP}>
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_MORE_EQUALS           :{NBSP}≥
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_CARGO_EQUALS          :可裝載
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_CARGO_NOT_EQUALS      :不可裝載
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_HAS_STATUS            :有
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_DOESNT_HAVE_STATUS    :沒有
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_PASS                  :通過
STR_TRACE_RESTRICT_CONDITIONAL_COMPARATOR_DOESNT_PASS           :不通過
STR_TRACE_RESTRICT_CONDITIONAL_IF                               :如果
STR_TRACE_RESTRICT_CONDITIONAL_ELIF                             :否則如果
STR_TRACE_RESTRICT_CONDITIONAL_ORIF                             :或如果
STR_TRACE_RESTRICT_CONDITIONAL_ELSE                             :否則
STR_TRACE_RESTRICT_CONDITIONAL_ENDIF                            :判斷結束
STR_TRACE_RESTRICT_VARIABLE_TRAIN_LENGTH                        :列車長度
STR_TRACE_RESTRICT_VARIABLE_MAX_SPEED                           :最高速度
STR_TRACE_RESTRICT_VARIABLE_CURRENT_ORDER                       :當前調度任務
STR_TRACE_RESTRICT_VARIABLE_NEXT_ORDER                          :下個調度任務
STR_TRACE_RESTRICT_VARIABLE_LAST_VISITED_STATION                :最後經由車站
STR_TRACE_RESTRICT_VARIABLE_CARGO                               :貨物
STR_TRACE_RESTRICT_VARIABLE_LOAD_PERCENT                        :裝載百分比
STR_TRACE_RESTRICT_VARIABLE_ENTRY_DIRECTION                     :進入方向
STR_TRACE_RESTRICT_VARIABLE_PBS_ENTRY_SIGNAL                    :路徑預留區間起始號誌
STR_TRACE_RESTRICT_VARIABLE_PBS_ENTRY_SIGNAL_LONG               :路徑預留區間內號誌
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_SIGNAL                  :路徑預留區間結束號誌
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_SIGNAL_LONG             :當前路徑預留號誌結束
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_TILE                    :路徑結束格
STR_TRACE_RESTRICT_VARIABLE_PBS_RES_END_TILE_LONG               :此號誌的路徑結束格
STR_TRACE_RESTRICT_VARIABLE_TRAIN_GROUP                         :列車群組
STR_TRACE_RESTRICT_VARIABLE_TRAIN_SLOT                          :當前停泊位置
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY                      :停泊位置使用率
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY_REMAINING            :剩餘停泊位置使用率
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY_SHORT                :使用率
STR_TRACE_RESTRICT_VARIABLE_SLOT_OCCUPANCY_REMAINING_SHORT      :剩餘使用率
STR_TRACE_RESTRICT_VARIABLE_COUNTER_VALUE                       :計數器值
STR_TRACE_RESTRICT_VARIABLE_TIME_DATE_VALUE                     :當前時間日期
STR_TRACE_RESTRICT_VARIABLE_RESERVED_TILES_AHEAD                :前方預留格
STR_TRACE_RESTRICT_VARIABLE_TRAIN_WEIGHT                        :重量
STR_TRACE_RESTRICT_VARIABLE_TRAIN_POWER                         :功率
STR_TRACE_RESTRICT_VARIABLE_TRAIN_MAX_TE                        :最大牽引力
STR_TRACE_RESTRICT_VARIABLE_TRAIN_POWER_WEIGHT_RATIO            :功率重量比
STR_TRACE_RESTRICT_VARIABLE_TRAIN_MAX_TE_WEIGHT_RATIO           :最大牽引力/重力比
STR_TRACE_RESTRICT_VARIABLE_TRAIN_OWNER                         :列車所有者
STR_TRACE_RESTRICT_VARIABLE_TRAIN_STATUS                        :列車狀態
STR_TRACE_RESTRICT_VARIABLE_TRAIN_ENGINE_CLASS                  :機車類別
STR_TRACE_RESTRICT_VARIABLE_ORDER_TARGET_DIRECTION              :調度目標方向
STR_TRACE_RESTRICT_VARIABLE_RESERVATION_THROUGH                 :預留路徑格數
STR_TRACE_RESTRICT_VARIABLE_RESERVATION_THROUGH_SHORT           :預留路徑
STR_TRACE_RESTRICT_VARIABLE_UNDEFINED                           :未命名
STR_TRACE_RESTRICT_VARIABLE_UNDEFINED_RED                       :{PUSH_COLOUR}{RED}未命名{POP_COLOUR}
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_INTEGER                  :{STRING}{STRING}{STRING} {COMMA}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_SPEED                    :{STRING}{STRING}{STRING} {VELOCITY}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_WEIGHT                   :{STRING}{STRING}{STRING} {WEIGHT_SHORT}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_POWER                    :{STRING}{STRING}{STRING} {POWER}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_FORCE                    :{STRING}{STRING}{STRING} {FORCE}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_POWER_WEIGHT_RATIO       :{STRING}{STRING}{STRING} {POWER_WEIGHT_RATIO}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_FORCE_WEIGHT_RATIO       :{STRING}{STRING}{STRING} {FORCE_WEIGHT_RATIO}，則
STR_TRACE_RESTRICT_CONDITIONAL_COMPARE_TIME_HHMM                :{STRING}{STRING}{STRING} {TIME_HHMM}，則
STR_TRACE_RESTRICT_CONDITIONAL_ORDER_STATION                    :{STRING}{STRING}{STRING} {STATION}，則
STR_TRACE_RESTRICT_CONDITIONAL_ORDER_WAYPOINT                   :{STRING}{STRING}{STRING} {WAYPOINT}，則
STR_TRACE_RESTRICT_CONDITIONAL_ORDER_DEPOT                      :{STRING}{STRING}{STRING} {DEPOT}，則
STR_TRACE_RESTRICT_CONDITIONAL_CARGO                            :{STRING}列車{STRING}{STRING}，則
STR_TRACE_RESTRICT_CONDITIONAL_ENTRY_DIRECTION                  :{STRING}列車{STRING}從{STRING}方進入格子的，則
STR_TRACE_RESTRICT_CONDITIONAL_ENTRY_SIGNAL_FACE                :{STRING}列車{STRING}從號誌{STRING}側進入的，則
STR_TRACE_RESTRICT_CONDITIONAL_ENTRY_SIGNAL_TYPE                :{STRING}列車{STRING}{STRING}，則
STR_TRACE_RESTRICT_CONDITIONAL_TILE_INDEX                       :{STRING}{STRING} {STRING} 在 {NUM} x {NUM}，則
STR_TRACE_RESTRICT_CONDITIONAL_GROUP                            :{STRING}列車{STRING}在群組：“{GROUP}”內，則
STR_TRACE_RESTRICT_CONDITIONAL_GROUP_STR                        :{STRING}列車{STRING}在群組：“{STRING}”內{BLACK}{STRING}，則
